date,month_num,weekday,ai_platform,ai_model_version,active_users,new_users,churned_users,daily_churn_rate,retention_rate,user_id,query_type,input_text,input_text_length,response_tokens,topic_category,user_rating,user_experience_score,session_duration_sec,device_type,language,response_accuracy,response_speed_sec,response_time_category,correction_needed,user_return_frequency,customer_support_interactions,region,query_type_general,query_type_technical
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,c878a177-2da9-4224-8cf8-1d56a1c6a755,0,Draft a professional email about personal finance,7,280,Professional Writing,4,1.28,40,0,es,0.7842,3.3,0,0,6,2,Antarctica (the territory South of 60 deg S),1,0
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,7096d0f1-d0dc-4333-a5d0-de9dfd1b99fa,0,Write a blog post about personal finance,7,80,Content Creation,4,1.28,24,1,zh,0.8194,3.28,0,1,2,2,Ukraine,1,0
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,e690c254-582f-49c1-89c3-0b4dd8ee59be,0,What are the best practices for AI ethics?,8,131,Best Practices,3,0.88,34,0,en,0.809,3.07,0,0,2,0,Grenada,1,0
2024-09-21,9,Saturday,ChatGPT,GPT-4-turbo,500000,25000,25000,0.05,0.95,0b6a010d-9d03-44c4-bf7f-7f8d2cc461e2,0,Write a blog post about climate change,7,426,Content Creation,5,1.68,18,0,fr,0.8233,3.06,0,0,9,0,Guyana,1,0
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,ffa90616-1fa9-48ff-842d-e84e193c64f4,1,Debug this error in REST APIs:,6,215,Debugging,5,2.04,10,0,de,0.9366,1.48,1,0,9,3,India,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,eabd6678-8383-40e9-98d8-0d4814d6daf9,1,Optimize this SQL optimization code:,5,268,Code Optimization,5,2.04,18,0,de,0.8992,1.8,1,0,5,2,Sweden,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,914e7cef-0512-4a9b-a144-b4da35d11f4c,0,How to implement neural networks in Python?,7,299,Implementation Help,5,2.04,53,0,fr,0.9623,1.66,1,0,10,3,Armenia,1,0
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,57a6cc5b-8884-4553-bdcf-e4579f92581b,1,Explain REST APIs algorithm,4,147,Algorithm Explanation,5,2.04,50,1,fr,0.9832,1.83,1,0,8,2,Isle of Man,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,c6bb6063-5271-43d3-a16e-b4ca2149f246,1,Explain REST APIs algorithm,4,64,Algorithm Explanation,5,2.04,49,0,es,0.9067,1.75,1,0,6,1,Honduras,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,25f9fff3-0edf-4144-a435-08f1a8f50799,1,Optimize this REST APIs code:,5,326,Code Optimization,4,1.64,33,0,de,0.9096,1.52,1,0,5,3,Faroe Islands,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,b5975459-b32a-453e-b12a-3128699e2827,0,How to implement REST APIs in Python?,7,263,Implementation Help,5,2.04,20,0,es,0.8947,1.54,1,1,7,0,Ukraine,1,0
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,71452404-7923-4a14-af38-6ab8919abc50,0,How to implement neural networks in Python?,7,299,Implementation Help,5,2.04,19,0,de,0.9272,1.58,1,1,10,1,Singapore,1,0
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,402b0c38-8776-46ad-9423-1eb0ff1c916a,1,Explain SQL optimization algorithm,4,98,Algorithm Explanation,5,2.04,60,1,es,0.9659,1.8,1,0,4,3,Canada,0,1
2024-05-16,5,Thursday,DeepSeek,DeepSeek-Chat 1.5,1700000,170000,34000,0.02,0.95,50cbaaa0-406b-4c9b-a190-10a79748c608,0,How to implement neural networks in Python?,7,151,Implementation Help,5,2.04,43,0,en,0.9008,1.81,1,0,5,0,Andorra,1,0
